StaffId,StaffJobId,FestivalId,Name,Surname,DateOfBirth,ContactPhone,IsCertified
1,2,625,Germain,Kop,1995-10-11,258-986-5004,true
2,1,983,Nye,Rawlence,1942-09-26,772-406-4493,true
3,3,421,Jess,McVitty,1986-05-02,222-511-9155,true
4,1,584,Lanna,McAughtrie,1929-08-25,436-298-6635,false
5,4,750,Tani,Rottger,1907-10-22,520-106-2774,true
6,3,946,Ario,Beesey,2002-05-10,748-376-1724,true
7,1,446,Oren,Clemow,1938-11-19,634-115-7277,true
8,2,596,Inez,Muschette,1980-04-27,705-331-5414,true
9,3,206,Cosetta,Zmitrichenko,1932-06-15,581-821-5676,true
10,3,842,Ferdinanda,Berkowitz,1945-09-25,900-227-7822,false
11,4,833,Sigvard,Jerisch,1992-11-17,273-824-5983,true
12,2,974,Robert,Golsworthy,2000-02-03,869-114-8752,true
13,4,242,Jonell,Barrs,1928-09-29,951-568-6452,false
14,3,576,Efrem,Simonutti,1917-05-07,816-672-7742,false
15,1,563,Ricki,Warrack,1944-10-04,922-622-1013,false
16,4,674,Nikolaos,Crole,1903-11-01,654-568-3495,false
17,4,561,Jeanelle,Reston,1968-05-23,233-278-8897,false
18,4,530,Sherlocke,Mulchrone,1990-04-04,893-653-6703,true
19,2,849,Prentice,Thuillier,1913-01-18,132-135-5611,true
20,4,58,Timothee,Gerlack,1980-11-15,736-947-8141,false
21,4,771,Silvie,Annakin,1912-05-05,101-873-3786,false
22,1,671,Mirella,Millis,1976-07-06,548-495-2306,true
23,2,211,Dunn,Rex,1974-08-13,641-405-4398,true
24,2,941,Enrico,Keasley,1975-02-05,706-542-2280,true
25,1,581,Clair,Eicheler,1929-03-25,957-131-9238,false
26,2,763,Teressa,Van der Kruijs,1999-09-02,952-343-5229,true
27,1,814,Rosabella,Kubacek,1923-02-05,246-674-8975,true
28,1,849,Marysa,Golby,1968-06-13,298-927-3020,false
29,2,326,Mayer,Boorne,1984-03-23,384-772-0860,false
30,4,575,Flory,Armour,1922-06-11,744-182-8666,false
31,2,186,Bennie,Lowdyane,1966-01-26,357-767-5638,false
32,2,311,Kirstin,Rowdell,1989-02-17,820-797-2552,true
33,4,617,Bjorn,MacBean,1994-04-03,487-555-4221,true
34,3,842,Keri,Powdrell,1909-04-15,943-473-5680,false
35,1,729,Duffy,Shovelin,1960-06-13,395-428-6891,false
36,4,596,Rem,Onn,1948-08-11,368-937-0330,true
37,3,553,Emiline,Nicholls,1933-02-25,624-254-2305,false
38,3,988,Emilia,Smithen,1930-05-01,484-375-0530,true
39,4,16,Anatola,Halkyard,1906-12-16,167-738-9353,true
